Source,Target,Type,Weight
J Balvin,Jowell & Randy,Undirected,1
J Balvin,Farruko,Undirected,1
J Balvin,Arcangel,Undirected,1
J Balvin,Wisin,Undirected,1
J Balvin,Piso 21,Undirected,1
J Balvin,Justin Quiles,Undirected,1
J Balvin,Yandel,Undirected,1
J. Cole,Big Sean,Undirected,1
J. Cole,Kid Cudi,Undirected,1
J. Cole,Baby Keem,Undirected,1
J. Cole,Kendrick Lamar,Undirected,1
J. Cole,Meek Mill,Undirected,1
JACKBOYS,Don Toliver,Undirected,1
JACKBOYS,Gunna,Undirected,1
JACKBOYS,Lil Yachty,Undirected,1
JACKBOYS,NAV,Undirected,1
JP Saxe,Sam Fischer,Undirected,1
JP Saxe,Alexander 23,Undirected,1
Jack Harlow,Mustard,Undirected,1
Jack Harlow,Lil Uzi Vert,Undirected,1
Jack Harlow,Tory Lanez,Undirected,1
Jack Harlow,Ty Dolla $ign,Undirected,1
Jack Harlow,Tyla Yaweh,Undirected,1
Jack Harlow,Cordae,Undirected,1
Jack Harlow,DDG,Undirected,1
Jack Harlow,Lil Yachty,Undirected,1
James Arthur,Dean Lewis,Undirected,1
James Arthur,Niall Horan,Undirected,1
James Arthur,Lewis Capaldi,Undirected,1
James Arthur,JP Saxe,Undirected,1
Jason Mraz,John Mayer,Undirected,1
Jawsh 685,Sam Feldt,Undirected,1
Jawsh 685,Tones And I,Undirected,1
Jay Wheeler,Alex Rose,Undirected,1
Jay Wheeler,Milly,Undirected,1
Jay Wheeler,Dímelo Flow,Undirected,1
Jay Wheeler,Mora,Undirected,1
Jay Wheeler,Tainy,Undirected,1
Jhay Cortez,Anuel AA,Undirected,1
Jhay Cortez,Myke Towers,Undirected,1
Jhay Cortez,Alex Rose,Undirected,1
Jhay Cortez,Lunay,Undirected,1
Jhay Cortez,Kevin Roldan,Undirected,1
Jhay Cortez,Rvssian,Undirected,1
Jhay Cortez,Tainy,Undirected,1
Jhay Cortez,Nio Garcia,Undirected,1
Jhay Cortez,Rauw Alejandro,Undirected,1
Jhené Aiko,Bryson Tiller,Undirected,1
Joel Corry,Mabel,Undirected,1
Joel Corry,Regard,Undirected,1
Joel Corry,Topic,Undirected,1
Joel Corry,twocolors,Undirected,1
John Lennon,Paul McCartney,Undirected,1
John Lennon,The Beach Boys,Undirected,1
John Mayer,Jason Mraz,Undirected,1
Joji,Dominic Fike,Undirected,1
Joji,BROCKHAMPTON,Undirected,1
Jonas Brothers,Demi Lovato,Undirected,1
Jonas Esticado,Wesley Safadão,Undirected,1
Jonas Esticado,Matheus Fernandes,Undirected,1
Jorge & Mateus,Gusttavo Lima,Undirected,1
Jorge & Mateus,Luan Santana,Undirected,1
Joyner Lucas,Cordae,Undirected,1
João Gomes,Jonas Esticado,Undirected,1
João Gomes,Mari Fernandez,Undirected,1
João Gomes,Tarcísio do Acordeon,Undirected,1
João Gomes,Matheus Fernandes,Undirected,1
João Gomes,Raí Saia Rodada,Undirected,1
Juanfran,Milly,Undirected,1
Juice WRLD,YNW Melly,Undirected,1
Juice WRLD,Trippie Redd,Undirected,1
Juice WRLD,iann dior,Undirected,1
Juice WRLD,Internet Money,Undirected,1
Juice WRLD,6ix9ine,Undirected,1
Juice WRLD,Don Toliver,Undirected,1
Juice WRLD,Lil Tecca,Undirected,1
Juice WRLD,NAV,Undirected,1
Juice WRLD,Lil Mosey,Undirected,1
Juice WRLD,Lil Yachty,Undirected,1
Justin Bieber,Bazzi,Undirected,1
Justin Bieber,Demi Lovato,Undirected,1
Justin Bieber,Camila Cabello,Undirected,1
Justin Bieber,Selena Gomez,Undirected,1
Justin Bieber,Niall Horan,Undirected,1
Justin Bieber,ZAYN,Undirected,1
Justin Bieber,Jonas Brothers,Undirected,1
Justin Bieber,Shawn Mendes,Undirected,1
Justin Bieber,Khalid,Undirected,1
Justin Bieber,Liam Payne,Undirected,1
Justin Quiles,Kevin Roldan,Undirected,1
Justin Quiles,Rvssian,Undirected,1
Justin Quiles,Wisin,Undirected,1
Justin Quiles,Farruko,Undirected,1
Justin Timberlake,Nelly Furtado,Undirected,1
Justin Timberlake,Gwen Stefani,Undirected,1
Justin Timberlake,*NSYNC,Undirected,1
Justin Timberlake,Black Eyed Peas,Undirected,1
K/DA,Red Velvet,Undirected,1
